ItemMenu,description,category,price
CHICKEN PARMIGIANA,"Panko chicken, ham, cheese, mushroom sauce with Italian herb chips, salad.",Main,26
CHICKEN MILANESE,"Chicken seasoned bread crumb mix with Italian herb chips, salad.",Main,26
DEEP FRIED CALAMARI,"Deep fried panko squid rings served with Italian herb chips, salad, tartare sauce.",Main,26
WAGYU BEEF SANDO,"Wagyu beef slow cooked onions, tomato salsa with Italian herb chips and salad.",Main,26
TEMPURA SOFTSHELL CRAB BURGER,"Softshell crab, pineapple, red cabbage, tomato, pickles, cheese, burger sauce served with your choice of sweet potato chips or Italian herb chips.",Burger,25
DEEP FRIED CHICKEN KATSU BURGER,"Crunchy chicken katsu, grilled pineapple, red cabbage, tomato, pickles, burger cheese, secret burger sauce served with your choice of sweet potato chips or Italian herb chips.",Burger,24
PANKO CHICKEN BURGER,"Chicken breadcrumbs, pineapple, red cabbage, tomato, pickles, cheese, burger sauce served with your choice of sweet potato chips or Italian herb chips.",Burger,24
AMERICAN BURGER,"Double beef patty, pineapple, red cabbage, tomato, pickles, cheese, burger sauce served with your choice of sweet potato chips or Italian herb chips.",Burger,26
WAGYU BEEF RAGU BURGER,"Oven slow cooked wagyu ragu, red cabbage, onion, carrot, burger sauce served with your choice of sweet potato chips or Italian herb chips.",Burger,25
VEGAN BURGER,"Kale, spinach, pumpkin, mushroom, pickle, burger sauce served with sweet potato chips.",Burger,24
GRILLED SALMON,"Grilled salmon, mash potato, tomato salsa, grill broccolini, chimichurri.",Fish and Seafood,35
GRILLED BARRAMUNDI,"Lentil cooked with wagyu meat balls, grilled broccolini, pumpkin, gremolata.",Fish and Seafood,35
BLACK MUSSELS,"Fresh tomato cooked with garlic, chill, white wine with Napoli sauce.",Fish and Seafood,35
GICO’S SPECIAL SEAFOOD PLATTER ORIGINAL SIZE,"Blue swimmer crab, black mussels, green mussels, clams, prawns, salmon, leatherjacket, cooked with garlic, spring onions, fresh tomato, basil, mixed herbs and Napoli sauce.",Fish and Seafood,90
GICO’S SPECIAL SEAFOOD PLATTER MEDIUM SIZE,"Blue swimmer crab, black mussels, green mussels, clams, prawns, salmon, leatherjacket, cooked with garlic, spring onions, fresh tomato, basil, mixed herbs and Napoli sauce.",Fish and Seafood,75
WAGYU BEEF SCALOPPINE FUNGHI,"Pan fried wagyu veal, mushroom sauce, served with vegetables and salad.",Meat,35
WAGYU BEEF SALTIMBOCCA ALLA ROMANA,"Pan fried wagyu veal, prosciutto, asparagus, cheese, served with vegetables and salad.",Meat,37
PREMIUM SCOTCH FILLET,Cooked to your liking with mash potato and vegetables,Meat,39
MAYURA STATION MB5 PORTERHOUSE (250g),Cooked to your liking with mash potato and vegetables.,Meat,55
MAYURA STATION MBS7 SCOTCH FILLET  250G,Cooked to your liking with mash potato and vegetables. (Paired with Vinette shiraz),Meat,59
Kids spaghetti wagyu bolognaise,"Wagyu beef mix, rich tomato base sauce, grilled steak, parmesan cheese (Paired with Turkey Flat GSM)",Kids Meal,17
Kids spaghetti napaletana,"Wagyu meat balls, tomato, herbs",Kids Meal,14
Kids chips,"Truffle, mushroom, broad bean, ricotta, rose sauce",Kids Meal,6
Kids fish and chips,"Chicken, truffle, mushroom, broad bean, ricotta, rose sauce.",Kids Meal,16
Kids chips and chicken nuggets,"Smoked leg ham, mushroom, truffle, cream sauce.",Kids Meal,14
Roasted cocktail potato with mixed herbs and salt,Kids spaghetti napaletana,Side Dish,16
Pan fried broccolini with fried shallots,Kids chips,Side Dish,17
Deep fried corn ribs with seasoning,Kids fish and chips,Side Dish,14
Crunchy chips,Kids chips and chicken nuggets,Side Dish,9
Sweet potato chips,Roasted cocktail potato with mixed herbs and salt,Side Dish,9
Wedges with sweet chill sauce and sour cream,Pan fried broccolini with fried shallots,Side Dish,12
GARDEN SALAD,Deep fried corn ribs with seasoning,Salad,18
GICO’S ISLAND GRILLED CHICKEN SALAD,Crunchy chips,Salad,24
CHICKEN CAESAR SALAD,Sweet potato chips,Salad,26
Table tiramisu,Wedges with sweet chill sauce and sour cream,Dessert,16
Mango and cardamom crème brulees,"Cos lettuce, rocket, avocado, onion, tomato, cucumber, olive with light dressing on the side.",Dessert,18
Pandan bubble waffle,"Marinated chicken tenderloins, cos lettuce, avocado, tomato, cucumber, walnuts, with light dressing on the side.",Dessert,21
